,Unnamed: 0,Symbol,Name,Sector
0,0,MMM,3M Company,Industrials
1,1,AOS,A.O. Smith Corp,Industrials
2,2,ABT,Abbott Laboratories,Health Care
3,3,ABBV,AbbVie Inc.,Health Care
4,4,ACN,Accenture plc,Information Technology
5,5,ATVI,Activision Blizzard,Information Technology
6,6,AYI,Acuity Brands Inc,Industrials
7,7,ADBE,Adobe Systems Inc,Information Technology
8,8,AAP,Advance Auto Parts,Consumer Discretionary
9,9,AMD,Advanced Micro Devices Inc,Information Technology
10,10,AES,AES Corp,Utilities
11,11,AET,Aetna Inc,Health Care
12,12,AMG,Affiliated Managers Group Inc,Financials
13,13,AFL,AFLAC Inc,Financials
14,14,A,Agilent Technologies Inc,Health Care
15,15,APD,Air Products & Chemicals Inc,Materials
16,16,AKAM,Akamai Technologies Inc,Information Technology
17,17,ALK,Alaska Air Group Inc,Industrials
18,18,ALB,Albemarle Corp,Materials
19,19,ARE,Alexandria Real Estate Equities Inc,Real Estate
20,20,ALXN,Alexion Pharmaceuticals,Health Care
21,21,ALGN,Align Technology,Health Care
22,22,ALLE,Allegion,Industrials
23,23,AGN,"Allergan, Plc",Health Care
24,24,ADS,Alliance Data Systems,Information Technology
25,25,LNT,Alliant Energy Corp,Utilities
26,26,ALL,Allstate Corp,Financials
27,27,GOOGL,Alphabet Inc Class A,Information Technology
28,28,GOOG,Alphabet Inc Class C,Information Technology
29,29,MO,Altria Group Inc,Consumer Staples
30,30,AMZN,Amazon.com Inc.,Consumer Discretionary
31,31,AEE,Ameren Corp,Utilities
32,32,AAL,American Airlines Group,Industrials
33,33,AEP,American Electric Power,Utilities
34,34,AXP,American Express Co,Financials
35,35,AIG,"American International Group, Inc.",Financials
36,36,AMT,American Tower Corp A,Real Estate
37,37,AWK,American Water Works Company Inc,Utilities
38,38,AMP,Ameriprise Financial,Financials
39,39,ABC,AmerisourceBergen Corp,Health Care
40,40,AME,AMETEK Inc.,Industrials
41,41,AMGN,Amgen Inc.,Health Care
42,42,APH,Amphenol Corp,Information Technology
43,43,APC,Anadarko Petroleum Corp,Energy
44,44,ADI,"Analog Devices, Inc.",Information Technology
45,46,ANSS,ANSYS,Information Technology
46,47,ANTM,Anthem Inc.,Health Care
47,48,AON,Aon plc,Financials
48,49,APA,Apache Corporation,Energy
49,50,AIV,Apartment Investment & Management,Real Estate
50,51,AAPL,Apple Inc.,Information Technology
51,52,AMAT,Applied Materials Inc.,Information Technology
52,53,APTV,Aptiv Plc,Consumer Discretionary
53,54,ADM,Archer-Daniels-Midland Co,Consumer Staples
54,55,ARNC,Arconic Inc.,Industrials
55,56,AJG,Arthur J. Gallagher & Co.,Financials
56,57,AIZ,Assurant Inc.,Financials
57,58,T,AT&T Inc.,Telecommunication Services
58,59,ADSK,Autodesk Inc.,Information Technology
59,60,ADP,Automatic Data Processing,Information Technology
60,61,AZO,AutoZone Inc,Consumer Discretionary
61,62,AVB,"AvalonBay Communities, Inc.",Real Estate
62,63,AVY,Avery Dennison Corp,Materials
63,64,BHGE,"Baker Hughes, a GE Company",Energy
64,65,BLL,Ball Corp,Materials
65,66,BAC,Bank of America Corp,Financials
66,67,BAX,Baxter International Inc.,Health Care
67,68,BBT,BB&T Corporation,Financials
68,69,BDX,Becton Dickinson,Health Care
69,70,BRK.B,Berkshire Hathaway,Financials
70,71,BBY,Best Buy Co. Inc.,Consumer Discretionary
71,72,BIIB,Biogen Inc.,Health Care
72,73,BLK,BlackRock,Financials
73,74,HRB,Block H&R,Financials
74,75,BA,Boeing Company,Industrials
75,76,BKNG,Booking Holdings Inc,Consumer Discretionary
76,77,BWA,BorgWarner,Consumer Discretionary
77,78,BXP,Boston Properties,Real Estate
78,79,BSX,Boston Scientific,Health Care
79,80,BHF,Brighthouse Financial Inc,Financials
80,81,BMY,Bristol-Myers Squibb,Health Care
81,82,AVGO,Broadcom,Information Technology
82,84,CHRW,C. H. Robinson Worldwide,Industrials
83,85,CA,"CA, Inc.",Information Technology
84,86,COG,Cabot Oil & Gas,Energy
85,87,CDNS,Cadence Design Systems,Information Technology
86,88,CPB,Campbell Soup,Consumer Staples
87,89,COF,Capital One Financial,Financials
88,90,CAH,Cardinal Health Inc.,Health Care
89,91,KMX,Carmax Inc,Consumer Discretionary
90,92,CCL,Carnival Corp.,Consumer Discretionary
91,93,CAT,Caterpillar Inc.,Industrials
92,94,CBOE,Cboe Global Markets,Financials
93,95,CBRE,CBRE Group,Real Estate
94,96,CBS,CBS Corp.,Consumer Discretionary
95,97,CELG,Celgene Corp.,Health Care
96,98,CNC,Centene Corporation,Health Care
97,99,CNP,CenterPoint Energy,Utilities
98,100,CTL,CenturyLink Inc,Telecommunication Services
99,101,CERN,Cerner,Health Care
100,102,CF,CF Industries Holdings Inc,Materials
101,103,SCHW,Charles Schwab Corporation,Financials
102,104,CHTR,Charter Communications,Consumer Discretionary
103,105,CVX,Chevron Corp.,Energy
104,106,CMG,Chipotle Mexican Grill,Consumer Discretionary
105,107,CB,Chubb Limited,Financials
106,108,CHD,Church & Dwight,Consumer Staples
107,109,CI,CIGNA Corp.,Health Care
108,110,XEC,Cimarex Energy,Energy
109,111,CINF,Cincinnati Financial,Financials
110,112,CTAS,Cintas Corporation,Industrials
111,113,CSCO,Cisco Systems,Information Technology
112,114,C,Citigroup Inc.,Financials
113,115,CFG,Citizens Financial Group,Financials
114,116,CTXS,Citrix Systems,Information Technology
115,117,CME,CME Group Inc.,Financials
116,118,CMS,CMS Energy,Utilities
117,119,KO,Coca-Cola Company (The),Consumer Staples
118,120,CTSH,Cognizant Technology Solutions,Information Technology
119,121,CL,Colgate-Palmolive,Consumer Staples
120,122,CMCSA,Comcast Corp.,Consumer Discretionary
121,123,CMA,Comerica Inc.,Financials
122,124,CAG,Conagra Brands,Consumer Staples
123,125,CXO,Concho Resources,Energy
124,126,COP,ConocoPhillips,Energy
125,127,ED,Consolidated Edison,Utilities
126,128,STZ,Constellation Brands,Consumer Staples
127,129,GLW,Corning Inc.,Information Technology
128,130,COST,Costco Wholesale Corp.,Consumer Staples
129,131,COTY,"Coty, Inc",Consumer Staples
130,132,CCI,Crown Castle International Corp.,Real Estate
131,134,CSX,CSX Corp.,Industrials
132,135,CMI,Cummins Inc.,Industrials
133,136,CVS,CVS Health,Consumer Staples
134,137,DHI,D. R. Horton,Consumer Discretionary
135,138,DHR,Danaher Corp.,Health Care
136,139,DRI,Darden Restaurants,Consumer Discretionary
137,140,DVA,DaVita Inc.,Health Care
138,141,DE,Deere & Co.,Industrials
139,142,DAL,Delta Air Lines Inc.,Industrials
140,143,XRAY,Dentsply Sirona,Health Care
141,144,DVN,Devon Energy Corp.,Energy
142,145,DLR,Digital Realty Trust Inc,Real Estate
143,146,DFS,Discover Financial Services,Financials
144,147,DISCA,Discovery Inc. Class A,Consumer Discretionary
145,148,DISCK,Discovery Inc. Class C,Consumer Discretionary
146,149,DISH,Dish Network,Consumer Discretionary
147,150,DG,Dollar General,Consumer Discretionary
148,151,DLTR,Dollar Tree,Consumer Discretionary
149,152,D,Dominion Energy,Utilities
150,153,DOV,Dover Corp.,Industrials
151,154,DWDP,DowDuPont,Materials
152,156,DTE,DTE Energy Co.,Utilities
153,157,DUK,Duke Energy,Utilities
154,158,DRE,Duke Realty Corp,Real Estate
155,159,DXC,DXC Technology,Information Technology
156,160,ETFC,E*Trade,Financials
157,161,EMN,Eastman Chemical,Materials
158,162,ETN,Eaton Corporation,Industrials
159,163,EBAY,eBay Inc.,Information Technology
160,164,ECL,Ecolab Inc.,Materials
161,165,EIX,Edison Int'l,Utilities
162,166,EW,Edwards Lifesciences,Health Care
163,167,EA,Electronic Arts,Information Technology
164,168,EMR,Emerson Electric Company,Industrials
165,169,ETR,Entergy Corp.,Utilities
166,171,EOG,EOG Resources,Energy
167,172,EQT,EQT Corporation,Energy
168,173,EFX,Equifax Inc.,Industrials
169,174,EQIX,Equinix,Real Estate
170,175,EQR,Equity Residential,Real Estate
171,176,ESS,"Essex Property Trust, Inc.",Real Estate
172,177,EL,Estee Lauder Cos.,Consumer Staples
173,178,RE,Everest Re Group Ltd.,Financials
174,179,ES,Eversource Energy,Utilities
175,180,EXC,Exelon Corp.,Utilities
176,181,EXPE,Expedia Inc.,Consumer Discretionary
177,182,EXPD,Expeditors International,Industrials
178,183,ESRX,Express Scripts,Health Care
179,184,EXR,Extra Space Storage,Real Estate
180,185,XOM,Exxon Mobil Corp.,Energy
181,186,FFIV,F5 Networks,Information Technology
182,187,FB,"Facebook, Inc.",Information Technology
183,188,FAST,Fastenal Co,Industrials
184,189,FRT,Federal Realty Investment Trust,Real Estate
185,190,FDX,FedEx Corporation,Industrials
186,191,FIS,Fidelity National Information Services,Information Technology
187,192,FITB,Fifth Third Bancorp,Financials
188,193,FE,FirstEnergy Corp,Utilities
189,194,FISV,Fiserv Inc,Information Technology
190,195,FLIR,FLIR Systems,Information Technology
191,196,FLS,Flowserve Corporation,Industrials
192,197,FLR,Fluor Corp.,Industrials
193,198,FMC,FMC Corporation,Materials
194,199,FL,Foot Locker Inc,Consumer Discretionary
195,200,F,Ford Motor,Consumer Discretionary
196,201,FTV,Fortive Corp,Industrials
197,202,FBHS,Fortune Brands Home & Security,Industrials
198,203,BEN,Franklin Resources,Financials
199,204,FCX,Freeport-McMoRan Inc.,Materials
200,205,GPS,Gap Inc.,Consumer Discretionary
201,206,GRMN,Garmin Ltd.,Consumer Discretionary
202,207,IT,Gartner Inc,Information Technology
203,208,GD,General Dynamics,Industrials
204,209,GE,General Electric,Industrials
205,211,GIS,General Mills,Consumer Staples
206,212,GM,General Motors,Consumer Discretionary
207,213,GPC,Genuine Parts,Consumer Discretionary
208,214,GILD,Gilead Sciences,Health Care
209,215,GPN,Global Payments Inc.,Information Technology
210,216,GS,Goldman Sachs Group,Financials
211,217,GT,Goodyear Tire & Rubber,Consumer Discretionary
212,218,GWW,Grainger (W.W.) Inc.,Industrials
213,219,HAL,Halliburton Co.,Energy
214,220,HBI,Hanesbrands Inc,Consumer Discretionary
215,221,HOG,Harley-Davidson,Consumer Discretionary
216,222,HRS,Harris Corporation,Information Technology
217,223,HIG,Hartford Financial Svc.Gp.,Financials
218,224,HAS,Hasbro Inc.,Consumer Discretionary
219,225,HCA,HCA Holdings,Health Care
220,226,HCP,HCP Inc.,Real Estate
221,227,HP,Helmerich & Payne,Energy
222,228,HSIC,Henry Schein,Health Care
223,229,HES,Hess Corporation,Energy
224,230,HPE,Hewlett Packard Enterprise,Information Technology
225,231,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
226,232,HOLX,Hologic,Health Care
227,233,HD,Home Depot,Consumer Discretionary
228,234,HON,Honeywell Int'l Inc.,Industrials
229,235,HRL,Hormel Foods Corp.,Consumer Staples
230,236,HST,Host Hotels & Resorts,Real Estate
231,237,HPQ,HP Inc.,Information Technology
232,238,HUM,Humana Inc.,Health Care
233,239,HBAN,Huntington Bancshares,Financials
234,240,HII,Huntington Ingalls Industries,Industrials
235,241,IDXX,IDEXX Laboratories,Health Care
236,242,INFO,IHS Markit Ltd.,Industrials
237,243,ITW,Illinois Tool Works,Industrials
238,244,ILMN,Illumina Inc,Health Care
239,245,INCY,Incyte,Health Care
240,246,IR,Ingersoll-Rand PLC,Industrials
241,247,INTC,Intel Corp.,Information Technology
242,248,ICE,Intercontinental Exchange,Financials
243,249,IBM,International Business Machines,Information Technology
244,250,IP,International Paper,Materials
245,251,IPG,Interpublic Group,Consumer Discretionary
246,252,IFF,Intl Flavors & Fragrances,Materials
247,253,INTU,Intuit Inc.,Information Technology
248,254,ISRG,Intuitive Surgical Inc.,Health Care
249,255,IVZ,Invesco Ltd.,Financials
250,256,IPGP,IPG Photonics Corp.,Information Technology
251,257,IQV,IQVIA Holdings Inc.,Health Care
252,258,IRM,Iron Mountain Incorporated,Real Estate
253,259,JBHT,J. B. Hunt Transport Services,Industrials
254,260,JEC,Jacobs Engineering Group,Industrials
255,261,SJM,JM Smucker,Consumer Staples
256,262,JNJ,Johnson & Johnson,Health Care
257,263,JCI,Johnson Controls International,Industrials
258,264,JPM,JPMorgan Chase & Co.,Financials
259,265,JNPR,Juniper Networks,Information Technology
260,266,KSU,Kansas City Southern,Industrials
261,267,K,Kellogg Co.,Consumer Staples
262,268,KEY,KeyCorp,Financials
263,269,KMB,Kimberly-Clark,Consumer Staples
264,270,KIM,Kimco Realty,Real Estate
265,271,KMI,Kinder Morgan,Energy
266,272,KLAC,KLA-Tencor Corp.,Information Technology
267,273,KSS,Kohl's Corp.,Consumer Discretionary
268,274,KHC,Kraft Heinz Co,Consumer Staples
269,275,KR,Kroger Co.,Consumer Staples
270,276,LB,L Brands Inc.,Consumer Discretionary
271,277,LLL,L-3 Communications Holdings,Industrials
272,278,LH,Laboratory Corp. of America Holding,Health Care
273,279,LRCX,Lam Research,Information Technology
274,280,LEG,Leggett & Platt,Consumer Discretionary
275,281,LEN,Lennar Corp.,Consumer Discretionary
277,283,LLY,Lilly (Eli) & Co.,Health Care
278,284,LNC,Lincoln National,Financials
279,285,LKQ,LKQ Corporation,Consumer Discretionary
280,286,LMT,Lockheed Martin Corp.,Industrials
281,287,L,Loews Corp.,Financials
282,288,LOW,Lowe's Cos.,Consumer Discretionary
283,289,LYB,LyondellBasell,Materials
284,290,MTB,M&T Bank Corp.,Financials
285,291,MAC,Macerich,Real Estate
286,292,M,Macy's Inc.,Consumer Discretionary
287,293,MRO,Marathon Oil Corp.,Energy
288,294,MPC,Marathon Petroleum,Energy
289,295,MAR,Marriott Int'l.,Consumer Discretionary
290,296,MMC,Marsh & McLennan,Financials
291,297,MLM,Martin Marietta Materials,Materials
292,298,MAS,Masco Corp.,Industrials
293,299,MA,Mastercard Inc.,Information Technology
294,300,MAT,Mattel Inc.,Consumer Discretionary
295,301,MKC,McCormick & Co.,Consumer Staples
296,302,MCD,McDonald's Corp.,Consumer Discretionary
297,303,MCK,McKesson Corp.,Health Care
298,304,MDT,Medtronic plc,Health Care
299,305,MRK,Merck & Co.,Health Care
300,306,MET,MetLife Inc.,Financials
301,307,MTD,Mettler Toledo,Health Care
302,308,MGM,MGM Resorts International,Consumer Discretionary
304,310,MCHP,Microchip Technology,Information Technology
305,311,MU,Micron Technology,Information Technology
306,312,MSFT,Microsoft Corp.,Information Technology
307,313,MAA,Mid-America Apartments,Real Estate
308,314,MHK,Mohawk Industries,Consumer Discretionary
309,315,TAP,Molson Coors Brewing Company,Consumer Staples
310,316,MDLZ,Mondelez International,Consumer Staples
312,318,MNST,Monster Beverage,Consumer Staples
313,319,MCO,Moody's Corp,Financials
314,320,MS,Morgan Stanley,Financials
315,321,MSI,Motorola Solutions Inc.,Information Technology
316,322,MYL,Mylan N.V.,Health Care
317,323,NDAQ,"Nasdaq, Inc.",Financials
318,324,NOV,National Oilwell Varco Inc.,Energy
319,325,NAVI,Navient,Financials
320,326,NKTR,Nektar Therapeutics,Health Care
321,327,NTAP,NetApp,Information Technology
322,328,NFLX,Netflix Inc.,Information Technology
323,329,NWL,Newell Brands,Consumer Discretionary
324,330,NFX,Newfield Exploration Co,Energy
325,331,NEM,Newmont Mining Corporation,Materials
326,332,NWSA,News Corp. Class A,Consumer Discretionary
327,333,NWS,News Corp. Class B,Consumer Discretionary
328,334,NEE,NextEra Energy,Utilities
329,335,NLSN,Nielsen Holdings,Industrials
330,336,NKE,Nike,Consumer Discretionary
331,337,NI,NiSource Inc.,Utilities
332,338,NBL,Noble Energy Inc,Energy
333,339,JWN,Nordstrom,Consumer Discretionary
334,340,NSC,Norfolk Southern Corp.,Industrials
335,341,NTRS,Northern Trust Corp.,Financials
336,342,NOC,Northrop Grumman Corp.,Industrials
337,343,NCLH,Norwegian Cruise Line,Consumer Discretionary
338,344,NRG,NRG Energy,Utilities
339,345,NUE,Nucor Corp.,Materials
340,346,NVDA,Nvidia Corporation,Information Technology
341,347,ORLY,O'Reilly Automotive,Consumer Discretionary
342,348,OXY,Occidental Petroleum,Energy
343,349,OMC,Omnicom Group,Consumer Discretionary
344,350,OKE,ONEOK,Energy
345,351,ORCL,Oracle Corp.,Information Technology
346,352,PCAR,PACCAR Inc.,Industrials
