,MainLSTMlayers,MainLSTMNodes,MainLSTMDropout,FinalLSTMNodes,FinalLSTMDropout,FinalDenseNodes,FinalDenseDropout,LearningRate,Decay,Val_acc,Training_acc
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.0001,1e-07,0.52562415599823,0.5842970013618469
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.0001,3e-07,0.4875164330005646,0.5605599284172058
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.0001,1e-06,0.4717476963996887,0.5897747874259949
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.0001,3e-06,0.5203679203987122,0.5970785021781921
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.0003,1e-07,0.5295663475990295,0.6530736684799194
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.0003,3e-07,0.4756898880004883,0.6664637923240662
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.0003,1e-06,0.50722736120224,0.6475958824157715
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.0003,3e-06,0.5374507308006287,0.6439440250396729
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.001,1e-07,0.4678055047988892,0.7498478293418884
"(2, 32, 0.15, 32, 0.15, 32, 0.15, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,32.0,0.15,0.001,3e-07,0.5335085391998291,0.717589795589447
